T,M_Int_6_11_Min,M_Int_6_11_Max,M_Int_12_18_Min,M_Int_12_18_Max,M_Ext_6_11_Min,M_Ext_6_11_Max,M_Ext_12_18_Min,M_Ext_12_18_Max,M_Tot_6_11_Min,M_Tot_6_11_Max,M_Tot_12_18_Min,M_Tot_12_18_Max,F_Int_6_11_Min,F_Int_6_11_Max,F_Int_12_18_Min,F_Int_12_18_Max,F_Ext_6_11_Min,F_Ext_6_11_Max,F_Ext_12_18_Min,F_Ext_12_18_Max,F_Tot_6_11_Min,F_Tot_6_11_Max,F_Tot_12_18_Min,F_Tot_12_18_Max
100,64,64,64,64,70,70,70,70,238,240,237,240,64,64,64,64,70,70,70,70,238,240,237,240
99,63,63,62,63,69,69,69,69,232,237,230,236,62,63,63,63,69,69,69,69,232,237,230,236
98,62,62,61,61,68,68,68,68,226,231,223,229,60,61,62,62,67,68,68,68,226,231,224,229
97,60,61,59,60,67,67,67,67,221,225,217,222,58,59,61,61,66,66,67,67,220,225,217,223
96,59,59,58,58,66,66,66,66,215,220,210,216,56,57,60,60,65,65,66,66,214,219,210,216
95,58,58,57,57,65,65,65,65,210,214,203,209,54,55,59,59,64,64,65,65,209,213,203,209
94,57,57,55,56,64,64,64,64,204,209,196,202,52,53,58,58,62,63,64,64,203,208,197,202
93,56,56,54,54,63,63,63,63,198,203,189,195,50,51,57,57,61,61,63,63,197,202,190,196
92,54,55,52,53,62,62,62,62,193,197,183,188,48,49,56,56,60,60,62,62,191,196,183,189
91,53,53,51,51,61,61,61,61,187,192,176,182,46,47,55,55,58,59,61,61,185,190,177,182
90,52,52,49,50,60,60,60,60,181,186,169,175,44,45,54,54,57,57,60,60,179,184,170,176
89,51,51,48,48,59,59,59,59,175,180,163,168,42,43,53,53,56,56,59,59,174,184,164,169
88,49,50,46,47,57,58,57,58,169,174,158,162,41,41,51,52,54,55,57,58,168,173,159,163
87,47,48,45,45,55,56,55,56,163,168,154,157,40,40,50,50,52,53,55,56,162,167,155,158
86,46,46,44,44,53,54,54,54,157,162,149,153,38,39,48,49,50,51,54,54,156,161,150,154
85,44,45,42,43,51,52,52,53,151,156,144,148,37,37,46,47,48,49,52,53,150,155,145,149
84,42,43,41,41,49,50,51,51,145,150,139,143,36,36,45,45,46,47,51,51,144,149,141,144
83,41,41,40,40,47,48,49,50,139,144,135,138,35,35,43,44,44,45,49,50,139,143,136,140
82,39,40,38,39,45,46,47,48,133,138,130,134,34,34,42,42,42,43,47,48,133,138,131,135
81,37,38,37,37,43,44,46,46,127,132,125,129,33,33,40,41,40,41,46,46,127,132,127,130
80,35,36,36,36,41,42,44,45,121,126,121,124,31,32,38,39,39,39,44,45,121,126,122,126
79,34,34,34,35,39,40,42,43,114,120,116,120,30,30,37,37,37,38,42,43,115,120,117,121
78,32,33,33,33,37,38,41,41,108,113,111,115,29,29,35,36,35,36,41,41,109,114,113,116
77,30,31,31,32,35,36,39,40,102,107,106,110,28,28,34,34,33,34,39,40,103,108,108,112
76,29,29,30,30,33,34,37,38,96,101,102,105,27,27,32,33,31,32,37,38,98,102,103,107
75,27,28,29,29,31,32,36,36,90,95,97,101,26,26,31,31,29,30,36,36,92,97,99,102
74,25,26,27,28,29,30,34,35,84,89,92,96,25,25,29,30,27,28,34,35,86,91,94,98
73,24,24,26,26,27,28,33,33,78,83,87,91,23,24,27,28,25,26,33,33,80,85,89,93
72,22,23,25,25,25,26,31,32,72,77,83,86,22,22,26,26,23,24,31,32,74,79,85,88
71,20,21,23,24,23,24,29,30,66,71,78,82,21,21,24,25,21,22,29,30,68,73,80,84
70,18,19,20,22,22,22,28,28,61,65,71,77,20,20,22,23,20,20,27,28,63,67,71,79
69,NA,NA,18,19,21,21,25,27,59,60,68,70,19,19,20,21,NA,NA,24,26,60,62,69,70
68,16,17,17,17,20,20,23,24,57,58,66,67,18,18,19,19,19,19,21,23,58,59,63,68
67,15,15,16,16,19,19,22,22,56,56,64,65,17,17,18,18,18,18,20,20,55,57,56,62
66,14,14,15,15,18,18,20,21,54,55,61,63,16,16,17,17,17,17,18,19,54,54,51,55
65,12,13,14,14,17,17,NA,NA,50,53,58,60,15,15,16,16,16,16,17,17,52,53,47,50
64,NA,NA,NA,NA,16,16,19,19,49,49,52,57,14,14,15,15,15,15,16,16,49,51,45,46
63,11,11,13,13,15,15,17,18,47,48,49,51,13,13,14,14,NA,NA,15,15,45,48,43,44
62,NA,NA,12,12,14,14,16,16,44,46,47,48,12,12,13,13,14,14,14,14,42,44,40,42
61,10,10,11,11,13,13,15,15,41,43,44,46,11,11,NA,NA,13,13,13,13,41,41,38,39
60,9,9,NA,NA,12,12,14,14,39,40,40,43,NA,NA,12,12,12,12,12,12,38,40,36,37
59,NA,NA,10,10,NA,NA,13,13,37,38,38,39,10,10,11,11,11,11,11,11,35,37,35,35
58,8,8,9,9,10,11,12,12,35,36,35,37,9,9,10,10,10,10,10,10,34,34,33,34
57,7,7,8,8,NA,NA,11,11,34,34,33,34,NA,NA,NA,NA,9,9,NA,NA,32,33,30,32
56,NA,NA,NA,NA,9,9,10,10,32,33,30,32,8,8,9,9,8,8,9,9,30,31,29,29
55,NA,NA,7,7,NA,NA,9,9,30,31,28,29,NA,NA,8,8,NA,NA,8,8,29,29,26,28
54,6,6,6,6,8,8,8,8,28,29,26,27,7,7,NA,NA,7,7,7,7,26,28,24,25
53,NA,NA,NA,NA,7,7,7,7,25,27,24,25,NA,NA,7,7,6,6,NA,NA,24,25,23,23
52,5,5,5,5,NA,NA,NA,NA,24,24,22,23,6,6,6,6,NA,NA,6,6,23,23,21,22
51,NA,NA,NA,NA,6,6,6,6,21,23,20,21,NA,NA,NA,NA,5,5,5,5,21,22,19,20
50,4,4,4,4,5,5,5,5,19,20,19,19,5,5,5,5,NA,NA,NA,NA,19,20,17,18
49,NA,NA,NA,NA,NA,NA,NA,NA,17,18,17,18,NA,NA,NA,NA,4,4,4,4,17,18,16,16
48,3,3,NA,NA,4,4,4,4,16,16,16,16,4,4,4,4,NA,NA,NA,NA,16,16,14,15
47,NA,NA,3,3,NA,NA,NA,NA,15,15,14,15,NA,NA,NA,NA,3,3,NA,NA,15,15,13,13
46,NA,NA,NA,NA,3,3,3,3,14,14,13,13,3,3,NA,NA,NA,NA,3,3,13,14,12,12
45,2,2,NA,NA,NA,NA,NA,NA,12,13,11,12,NA,NA,3,3,NA,NA,NA,NA,12,12,10,11
44,NA,NA,2,2,2,2,NA,NA,11,11,10,10,NA,NA,NA,NA,2,2,2,2,11,11,9,9
43,NA,NA,NA,NA,NA,NA,2,2,10,10,9,9,2,2,2,2,NA,NA,NA,NA,10,10,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,9,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,9,9,8,8
41,1,1,NA,NA,NA,NA,NA,NA,8,8,7,7,NA,NA,NA,NA,1,1,NA,NA,8,8,7,7
40,NA,NA,1,1,1,1,1,1,7,7,6,6,NA,NA,NA,NA,NA,NA,1,1,7,7,6,6
39,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,1,1,1,1,NA,NA,NA,NA,6,6,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
36,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
